00001	SOUTHERN TIER UNEARTHLY			EACH	085375900074	12	7.99	7.99	1	7.99	3	5375900074	BEER	BEER	BEER	OMN	0.00	Y																				5.9500		0.00														0			3			AbDILOSW	0	853759000742	2015-10-19				0	9.2500											
00002	TWISTED BUTTERY CHOCOLATE NIPPLE			EACH	076642700429	18	4.99	0.00	1	0.00	37	6642700429	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	GLA	0.00	Y																				3.8383		0.00														0			37			AbDILOSW	0	766427004297	2015-10-19				0	9.2500											
00004	RAVENS LACE PEACHBERRY WHISKEY			EACH	009674900060	12	15.99	0.00	1	0.00	4	9674900060	SPIRITS	SPIRITS	WHISKEY-FLAVORED	ATH	0.00	Y																				11.5300		0.00														0			4			AbDILOSW	0	096749000609	2015-10-19				0	9.2500											
00005	FOUNDERS ALL DAY IPA 15PK			EACH	064286090024	1	20.59	20.59	1	0.00	1	4286090024	BEER	BEER	BEER	EAG	0.00	Y																				15.1990		0.00														0			1			AbDILOSW	0	642860900245	2015-10-19				0	9.2500											
00006	WISEACRE SEASONAL			CS/12	085963800407	12	9.49	0.00	1	0.00	-1	5963800407	BEER	BEER	BEER	EAG	0.00	Y																				7.0000		0.00														0			-1			AbDILOSW	0	859638004078	2015-10-19				0	9.2500											
00007	ANGRY ORCHARD GREEN APPLE			6 PACK	008769200149	4	10.29	0.00	1	0.00	0	8769200149	BEER	BEER	CIDER	ASB	0.00	Y																				7.5995		0.00														0			0			AbDILOSW	0	087692001492	2015-10-19				0	9.2500											
00008	WEIHENSTEPHANER			6 PACK	075224514150	4	13.59	0.00	1	0.00	0	5224514150	BEER	BEER	BEER	EAG	0.00	Y																				10.0538		0.00														0			0			AbDILOSW	0	752245141504	2015-10-19				0	9.2500											
00009	BARTON LIIT PREPACK			200ML	008066064000	6	14.49	0.00	1	0.00	-1	8066064000	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	CRO	0.00	Y																				10.5543		0.00														0			-1			AbDILOSW	0	080660640006	2015-10-19				1	9.2500											
00010	E&J BRANDY XO			100ML	008500000926	48	1.99	0.00	1	0.00	-12	8500000926	SPIRITS	SPIRITS	COGNAC	DEL	0.00	Y																				1.4100		0.00														0			-12			AbDILOSWV	0	085000009260	2015-10-19				2	9.2500											
00011	TWISTED SHOTZ RATTLESNAKE			4 PACK	076642700348	18	4.99	0.00	1	0.00	2	6642700348	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	GLA	0.00	Y																				3.8383		0.00														0			2			AbDILOSW	0	766427003481	2015-10-19				0	9.2500											
00012	1800 REPOSADO			EACH	081153801021	1	4.99	0.00	1	0.00	0	1153801021	SPIRITS	SPIRITS	TEQUILA	UNK	0.00	Y																				2.7700		0.00														0			0			AbDILOSW	0	81153801021	2015-10-19				0	9.2500											
00013	TWISTED SHOTZ MIAMI			4 PACK	076642700357	18	4.99	0.00	1	4.99	0	6642700357	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				4.6100		0.00														0			0			AbDILOSW	0	76642700357	2015-10-19				0	9.2500											
00014	TWENTY GRAND			100ML	081245901202	24	2.99	0.00	1	0.00	-1	1245901202	SPIRITS	SPIRITS	VODKA-FLAVORED	ATH	0.00	Y																				2.1153		0.00														0			-1			AbDILOSW	0	812459012028	2015-10-19				2	9.2500											
00015	ABSENTE DOUBLE SHOT			100ML	068976821700	72	7.99	0.00	1	0.00	2	8976821700	SPIRITS	SPIRITS	LIQUERS	GLA	0.00	Y																				6.1500		0.00														0			2			AbDILOSW	0	689768217006	2015-10-19				2	9.2500											
00016	BACARDI LIGHT			50ML	008048001580	120	1.83	0.00	1	0.00	1	8048001621	SPIRITS	SPIRITS	RUM	ATH	0.00	Y																				0.9083		0.00														0			1			AbDILOSWV	0	080480016210	2015-10-19				0	9.2500											
00017	TWISTED SHOTZ BUTTERY NIPPLE			4 PACK	076642700338	18	4.99	0.00	1	0.00	-19	6642700338	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	GLA	0.00	Y																				3.8383		0.00														0			-19			AbDILOSW	0	766427003382	2015-10-19				0	9.2500											
00018	TWISTED SHOTZ STRAWBERRY SUNDAE			4 PACK	076642700340	18	4.99	0.00	1	4.99	-1	6642700340	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	GLA	0.00	Y																				3.8400		0.00														0			-1			AbDILOSW	0	766427003405	2015-10-19				0	9.2500											
00019	SQZ SHOT BLUE KAMIKAZE			EACH	085383600500	1	2.99	0.00	1	2.99	2	5383600500	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	CRO	0.00	Y																				2.2500		0.00														0			2			AbDILOSW	0	85383600500	2015-10-19				0	9.2500											
